ID , Quote , Author , Submitted_by
1,"The greatest glory in living lies not in never falling, but in rising every time we fall. ",Nelson Mandela , Hiranmayi
2,The way to get started is to quit talking and begin doing. , Walt Disney , Hiranmayi
3,"If life were predictable it would cease to be life, and be without flavor. ", Eleanor Roosevelt , Hiranmayi
4,"If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough. ", Oprah Winfrey ,Hiranmayi
5," ""If you set your goals ridiculously high and it's a failure, you will fail above everyone else's success."" ", James Cameron , Hiranmayi
6," ""Life is what happens when you're busy making other plans."" ", John Lennon , Hiranmayi
7,Spread love everywhere you go. Let no one ever come to you without leaving happier. , Mother Teresa , Hiranmayi
8,"When you reach the end of your rope, tie a knot in it and hang on. ", Franklin D. Roosevelt , Hiranmayi
9,Always remember that you are absolutely unique. Just like everyone else. , Margaret Mead , Hiranmayi
10," ""Don't judge each day by the harvest you reap but by the seeds that you plant."" ", Robert Louis Stevenson , Hiranmayi
11," ""The future belongs to those who believe in the beauty of their dreams."" ", Eleanor Roosevelt , Hiranmayi
12," ""Tell me and I forget. Teach me and I remember. Involve me and I learn."" ", Benjamin Franklin , Hiranmayi
13," ""It is during our darkest moments that we must focus to see the light."" ", Aristotle , Hiranmayi
14," Whoever is happy will make others happy too."" ", Anne Frank , Hiranmayi
15,"You will face many defeats in life, but never let yourself be defeated. ", Maya Angelou , Hiranmayi
16," ""The greatest glory in living lies not in never falling, but in rising every time we fall."" ", Nelson Mandela , Hiranmayi
17," ""In the end, it's not the years in your life that count. It's the life in your years."" ", Abraham Lincoln , Hiranmayi
18," ""Life is either a daring adventure or nothing at all."" ", Helen Keller , Hiranmayi
19," ""Many of life's failures are people who did not realize how close they were to success when they gave up."" ", Thomas A. Edison , Hiranmayi
20," ""Go confidently in the direction of your dreams! Live the life you've imagined."" ", Henry David Thoreau , Hiranmayi
